X1,word,lang,poet,century,text
1948,بالایی,ar,مهدی اخوان ثالث,14,بالایی
12330,بخار,fa,مهدی اخوان ثالث,14,بخار
3005,نمناک,fa,مهدی اخوان ثالث,14,نمناک
16191,زلفکم,fa,مهدی اخوان ثالث,14,زلفکم
17470,آخرین,fa,مهدی اخوان ثالث,14,آخرین
17244,سرد,fa,مهدی اخوان ثالث,14,سرد
4707,پر,fa,مهدی اخوان ثالث,14,پر
252,دگر,fa,مهدی اخوان ثالث,14,دگر
7747,لحظهٔ,ar,مهدی اخوان ثالث,14,لحظهٔ
2784,مانده‌تان,fa,مهدی اخوان ثالث,14,مانده‌تان
2982,کری,fa,مهدی اخوان ثالث,14,کری
11043,پر,fa,مهدی اخوان ثالث,14,پر
16939,پرسد,fa,مهدی اخوان ثالث,14,پرسد
5998,مرکب,fa,مهدی اخوان ثالث,14,مرکب
6487,سردی,fa,مهدی اخوان ثالث,14,سردی
1587,آسمان,fa,مهدی اخوان ثالث,14,آسمان
16836,پاک,fa,مهدی اخوان ثالث,14,پاک
2007,هیچستان,fa,مهدی اخوان ثالث,14,هیچستان
2145,مُرد,fa,مهدی اخوان ثالث,14,مُرد
15369,پوپکم!,fa,مهدی اخوان ثالث,14,پوپکم!
3166,فرجام,ar,مهدی اخوان ثالث,14,فرجام
6202,مرکب,fa,مهدی اخوان ثالث,14,مرکب
16709,ملول,ar,مهدی اخوان ثالث,14,ملول
10557,می‌دمد,fa,مهدی اخوان ثالث,14,می‌دمد
14716,دست‌های,fa,مهدی اخوان ثالث,14,دست‌های
6724,شور,fa,مهدی اخوان ثالث,14,شور
6880,چنگم,fa,مهدی اخوان ثالث,14,چنگم
18312,گام,fa,مهدی اخوان ثالث,14,گام
15754,هستیت،,fa,مهدی اخوان ثالث,14,هستیت،
546,ست,fa,مهدی اخوان ثالث,14,ست
8632,ترسی,fa,مهدی اخوان ثالث,14,ترسی
17539,می‌شست,fa,مهدی اخوان ثالث,14,می‌شست
6645,گم,fa,مهدی اخوان ثالث,14,گم
920,اندر,fa,مهدی اخوان ثالث,14,اندر
5921,پویند,fa,مهدی اخوان ثالث,14,پویند
3381,راز,fa,مهدی اخوان ثالث,14,راز
9707,ظلمت,ar,مهدی اخوان ثالث,14,ظلمت
16,ِ,fa,مهدی اخوان ثالث,14,ِ
13633,دشت,fa,مهدی اخوان ثالث,14,دشت
11948,کندت,fa,مهدی اخوان ثالث,14,کندت
17937,کآسان,fa,مهدی اخوان ثالث,14,کآسان
